query,title,url,snippet,creation_date,modified_date,display_link,rank
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net","Alico, Inc. to Attend the 2024 ICR Conference in Orlando, Florida",https://d1io3yog0oux5.cloudfront.net/_56a59ae949927ece0dbf985325d32429/alicoinc/news/2024-01-05_Alico_Inc_to_Attend_the_2024_ICR_Conference_in_1409.pdf,"Jan 5, 2024 ... change; ESG issues, including those related to climate change and sustainability, ... our Annual Report on Form 10-K for the ... 2023, and in our.",2024-01-06,,d1io3yog0oux5.cloudfront.net,12
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net","Alico, Inc. Announces Financial Results for the Fourth Quarter and ...",https://d1io3yog0oux5.cloudfront.net/_8e602d3c63faa41a1b807bfa400c005c/alicoinc/news/2023-12-06_Alico_Inc_Announces_Financial_Results_for_the_1408.pdf,"Dec 6, 2023 ... 06, 2023 (GLOBE NEWSWIRE) -- Alico, Inc. ... The Company reports net income attributable to Alico, Inc. ... climate change and sustainability ...",2023-12-06,,d1io3yog0oux5.cloudfront.net,13
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net","Alico, Inc. to Attend 3rd Annual AGTech Answers Conference",https://d1io3yog0oux5.cloudfront.net/_dd7713b67e2192da8075d98a981e76bb/alicoinc/news/2023-11-13_Alico_Inc_to_Attend_3rd_Annual_AGTech_Answers_1405.pdf,"Nov 13, 2023 ... 13, 2023 (GLOBE NEWSWIRE) -- Alico, Inc. ... change and sustainability ... Operations"" in our Annual Report on Form 10-K for the fiscal year ended ...",2023-11-13,,d1io3yog0oux5.cloudfront.net,14
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net","Alico, Inc. Appoints Bradley Heine as Chief Financial Officer",https://d1io3yog0oux5.cloudfront.net/_7dfe088360359aff0adc44cdbd47bb7b/alicoinc/news/2023-08-16_Alico_Inc_Appoints_Bradley_Heine_as_Chief_1404.pdf,"Aug 16, 2023 ... FORT MYERS, Fla., Aug. 16, 2023 (GLOBE NEWSWIRE) -- Alico, Inc. (NASDAQ: ALCO,. ""Alico"" or ""the Company""), an agriculture and land ...",2023-08-16,,d1io3yog0oux5.cloudfront.net,15
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net","Alico, Inc. Announces Financial Results for the Third Quarter and ...",https://d1io3yog0oux5.cloudfront.net/_c78287dab3098a442434dd291b572778/alicoinc/news/2023-08-03_Alico_Inc_Announces_Financial_Results_for_the_1403.pdf,"Aug 3, 2023 ... 03, 2023 (GLOBE NEWSWIRE) -- Alico, Inc. ... Company reports net income attributable to Alico, Inc. ... change and sustainability; increases in ...",2023-08-03,,d1io3yog0oux5.cloudfront.net,16
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net","Voya Financial, Inc.",https://d18rn0p25nwr6d.cloudfront.net/CIK-0001535929/41e41237-d3a5-46d6-80bb-810877af50ac.pdf,"May 25, 2023 ... ... Company (Alico); ... Social Responsibility Committee also reviews an annual report on our political ... statements for the year ending December 31, ...",2023-04-11,2023-04-11,d18rn0p25nwr6d.cloudfront.net,17
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",S&P Global Inc.,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000064040/3c661621-7f6d-479e-904d-fe9a90f89b12.pdf,"Mar 23, 2023 ... ... climate disclosure report responsive to each ... Life Insurance Company (Alico). Other Professional ... On January 31, 2023, BlackRock, Inc.",2023-03-23,2023-03-23,d18rn0p25nwr6d.cloudfront.net,18
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net","Alico, Inc. Announces Financial Results for the Fiscal Quarter Ended ...",https://d1io3yog0oux5.cloudfront.net/_7dc385d81f100d11965f9a5a426e6b74/alicoinc/news/2022-02-03_Alico_Inc_Announces_Financial_Results_for_the_1378.pdf,"Feb 3, 2022 ... Company's Environmental, Sustainability and Governance (“ESG”) implementation strategy and related work. Partially offsetting these ...",2023-01-26,,d1io3yog0oux5.cloudfront.net,19
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com","ALICO, INC.",https://ir.alicoinc.com/all-sec-filings/content/0000003545-24-000066/0000003545-24-000066.pdf,"May 6, 2024 ... Indicate by check mark whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the Securities ...",2024-05-06,,ir.alicoinc.com,1
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com","ALICO, INC.",https://ir.alicoinc.com/all-sec-filings/content/0000003545-24-000034/0000003545-24-000034.pdf,"Feb 7, 2024 ... ... 2023 filed with the. Securities and Exchange Commission (the “SEC”) on December 6, 2023 (the “2023 Annual Report on Form 10-K”). Except as ...",2024-02-07,,ir.alicoinc.com,2
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com","ALICO, INC.",https://ir.alicoinc.com/all-sec-filings/content/0000003545-24-000022/0000003545-24-000022.pdf,"Jan 16, 2024 ... ... 2023 Sustainability Report (the “Report”) highlighting the Company's approach to ... Company's website at https://www.alicoinc.com/sustainability.",2024-01-16,,ir.alicoinc.com,3
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com","DEF 14A - 01/12/2024 - Alico, Inc.",https://ir.alicoinc.com/all-sec-filings/content/0000003545-24-000019/0000003545-24-000019.pdf,"Jan 12, 2024 ... ... 2023 (the “2023 Annual Report”) will be released on or about ... www.alicoinc.com or at www ... Alico publishes annual Sustainability Reports ...",2024-01-12,2024-01-12,ir.alicoinc.com,4
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com","ALICO, INC.",https://ir.alicoinc.com/all-sec-filings/content/0000003545-23-000030/0000003545-23-000030.pdf,"Dec 6, 2023 ... The forward-looking statements in this Annual Report are only ... sustainability, climate change ... 2023 (the “Report”) of Alico, Inc. (the ...",2023-12-06,,ir.alicoinc.com,5
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com","ALICO, INC.",https://ir.alicoinc.com/all-sec-filings/content/0000950170-23-037560/0000950170-23-037560.pdf,"Aug 3, 2023 ... On July 14, 2023 the Company paid a third ... legal, regulatory or market measures to address climate change and sustainability ... Annual Report on.",2023-08-03,,ir.alicoinc.com,6
"Alico, Inc. Sustainability Report 2023 filetype:pdf site:ir.alicoinc.com","DEF 14A - 01/17/2023 - Alico, Inc.",https://ir.alicoinc.com/all-sec-filings/content/0000950170-23-000793/0000950170-23-000793.pdf,"Jan 17, 2023 ... ... alicoinc.com or by mail at the address above. ... annual published sustainability report. ... 2023: The Company's Proxy Statement and our Annual ...",2023-01-17,,ir.alicoinc.com,7
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Q3-FY24 Earnings Presentation,https://ir.aspentech.com/static-files/4ce26459-5cc4-4d05-9f2b-3127ac488865,"May 7, 2024 ... metrics set forth in this presentation, to track AspenTech's business performance. Page 3. © 2024 Aspen Technology, Inc. All rights reserved ...",2024-05-07,2024-05-07,ir.aspentech.com,1
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Q2-FY24 Results,https://ir.aspentech.com/static-files/cd9e6e32-057f-4a10-91fa-d7983a9e6dbb,"Feb 6, 2024 ... © 2024 Aspen Technology, Inc. All rights ... recent Annual Report on Form 10-K and subsequent reports filed with the Securities ... 2023. Annual ...",2024-04-03,2024-04-03,ir.aspentech.com,2
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Best Practices for Implementation of a Prescriptive Maintenance ...,https://www.aspentech.com/-/media/aspentech/home/resources/white-papers/pdfs/fy24/q1/at-0934_wp_evolution_mining-07-digital.pdf,"Paul Robbins, Group Head for Asset Effectiveness, Evolution Mining. Marc Poualion, Solution Marketing Director, Metals and Mining, Aspen Technology, Inc. White ...",2024-03-26,2024-03-26,www.aspentech.com,3
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",AspenTech University Training Catalog,https://www.aspentech.com/-/media/aspentech/home/academic-program/subsurface-science-and-engineering-course-catalog/training-courses-aspentech-sse-2023-copyright.pdf,"© 2024 Aspen Technology, Inc. AspenTech®, aspenONE®, the Aspen leaf logo, the aspenONE logo and OPTIMIZE are trademarks of Aspen Technology, Inc. All rights ...",2024-03-07,2024-03-07,www.aspentech.com,4
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Q4-FY23 Results,https://ir.aspentech.com/static-files/eb2c1716-94f2-4f4f-a3c8-afb2bb851e19,"Nov 6, 2023 ... © 2023 Aspen Technology, Inc. All rights ... We partner with our customers to help them better achieve their goals through sustainability pathways ...",2023-11-06,2023-11-06,ir.aspentech.com,5
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Form 8-K for Aspen Technology INC filed 10/19/2023,https://ir.aspentech.com/static-files/1c0611f1-5e2c-4a75-9d82-11a20a0564dc,"Oct 19, 2023 ... Date of Report (Date of earliest event reported): October 13, 2023. ASPEN TECHNOLOGY, INC. (Exact name of registrant as specified in its ...",2023-10-19,2023-10-19,ir.aspentech.com,6
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",UNITED STATES SECURITIES AND EXCHANGE COMMISSION ...,https://ir.aspentech.com/static-files/912dc789-e726-4aac-bff5-20b8fb8e8711,"Jun 30, 2023 ... ... Annual Report on Form 10-K and not owned by AspenTech are ... technology & sustainability with ... AspenTech Corporation (f/k/a Aspen Technology, ...",2023-10-03,2023-10-06,ir.aspentech.com,7
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Q4-FY23 Results,https://ir.aspentech.com/static-files/e7168dba-0856-464a-8512-1abace48e85f,"Oct 17, 2023 ... © 2023 Aspen Technology, Inc. All rights ... others, as set forth in AspenTech's most recent Annual Report on Form 10-K and subsequent reports ...",2023-09-13,2023-09-13,ir.aspentech.com,8
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Proactive Decision-Making for Emissions Management: The ...,https://www.aspentech.com/-/media/aspentech/home/resources/white-papers/pdfs/fy24/q1/at-1271_emissions_mgmt_05_digital-1.pdf,"in 2023: IFRS S1, a sustainability reporting ... report to a day-to-day view of carbon emissions and plan ... © 2023 Aspen Technology, Inc. All rights reserved ...",2023-08-24,2023-08-24,www.aspentech.com,9
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Q4-FY23 Results,https://ir.aspentech.com/static-files/a114abbb-4a56-43ca-97b9-a4e0fdb0a0e2,"Aug 1, 2023 ... © 2023 Aspen Technology, Inc. All rights reserved. 2. Forward-Looking Statements. Safe Harbor Statement. Statements in this presentation and ...",2023-08-02,2023-08-02,ir.aspentech.com,10
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com","Aspen Technology, Inc - UK Tax Strategy",https://www.aspentech.com/-/media/aspentech/home/about-aspentech/corporate-governance/fy23-q4/uk-tax-strategy.pdf,respect of the financial year ending 30 June 2023. ... improve their operational excellence while achieving sustainability goals. ... AspenTech has implemented ...,2023-06-30,2023-06-30,www.aspentech.com,11
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Aspen eLearning V10.0 Enterprise Release Notes Summary,https://esupport.aspentech.com/FileAttachment?id=a0gDp0000015wYY,"On Tuesday, May 23rd, 2023, we reorganized the Aspen HYSYS Petroleum Refining Courses into three new ... o Sustainability Solutions: Aspen Fidelis Examples. - ...",2023-05-30,2023-05-30,esupport.aspentech.com,12
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Form 8-K for Aspen Technology INC filed 04/26/2023,https://ir.aspentech.com/static-files/f74a6ad0-390f-44a8-b54d-073e4034b513,"Apr 26, 2023 ... meet their sustainability and operational excellence objectives. ... Annual Report on Form 10-. KT and subsequent ... © 2023 Aspen Technology, Inc.",2023-04-26,2023-04-26,ir.aspentech.com,13
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",AspenTech Inmation™ Real World Use Cases,https://solutions.aspentech.com/-/media/aspentech/home/resources/brochure/pdfs/fy23/q4/at-1002_bro-inmation-use-cases_0423.pdf,"Technologies such as AspenTech Inmation leverage digital twins and ... Deloitte: Sustainability Action Report. 7. Page 8 ... © 2023 Aspen Technology, Inc. All ...",2023-04-25,2023-04-25,solutions.aspentech.com,14
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Digitalization Strategies to Gain Leadership in Sustainability,https://www.aspentech.com/-/media/aspentech/home/resources/executive-brief/pdfs/fy23/q3/at_0330_eb_-digitalization-strategies-in-sustainability_0123.pdf,"... reporting will also be ... CTO and CSO, Executive Vice President of Sustainability, Technology ... © 2023 Aspen Technology, Inc. All rights reserved. AT-0330.",2023-02-22,2023-02-22,www.aspentech.com,15
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:aspentech.com",Q2-FY23 Results,https://ir.aspentech.com/static-files/6d1557f7-8695-4cf4-afb0-0d530cbba86f,"Jan 25, 2023 ... © 2023 Aspen Technology, Inc. All rights ... AspenTech's periodic reports ... AspenTech is a global leader in sustainability for asset-intensive ...",2023-01-25,2023-01-25,ir.aspentech.com,16
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",Q3-FY24 Earnings Presentation,https://ir.aspentech.com/static-files/4ce26459-5cc4-4d05-9f2b-3127ac488865,"May 7, 2024 ... metrics set forth in this presentation, to track AspenTech's business performance. Page 3. © 2024 Aspen Technology, Inc. All rights reserved ...",2024-05-07,2024-05-07,ir.aspentech.com,1
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",Q2-FY24 Results,https://ir.aspentech.com/static-files/cd9e6e32-057f-4a10-91fa-d7983a9e6dbb,"Feb 6, 2024 ... © 2024 Aspen Technology, Inc. All rights ... recent Annual Report on Form 10-K and subsequent reports filed with the Securities ... 2023. Annual ...",2024-04-03,2024-04-03,ir.aspentech.com,2
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",Q4-FY23 Results,https://ir.aspentech.com/static-files/eb2c1716-94f2-4f4f-a3c8-afb2bb851e19,"Nov 6, 2023 ... © 2023 Aspen Technology, Inc. All rights ... We partner with our customers to help them better achieve their goals through sustainability pathways ...",2023-11-06,2023-11-06,ir.aspentech.com,3
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",Form 8-K for Aspen Technology INC filed 10/19/2023,https://ir.aspentech.com/static-files/1c0611f1-5e2c-4a75-9d82-11a20a0564dc,"Oct 19, 2023 ... Date of Report (Date of earliest event reported): October 13, 2023. ASPEN TECHNOLOGY, INC. (Exact name of registrant as specified in its ...",2023-10-19,2023-10-19,ir.aspentech.com,4
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",UNITED STATES SECURITIES AND EXCHANGE COMMISSION ...,https://ir.aspentech.com/static-files/912dc789-e726-4aac-bff5-20b8fb8e8711,"Jun 30, 2023 ... ... Annual Report on Form 10-K and not owned by AspenTech are ... technology & sustainability with ... AspenTech Corporation (f/k/a Aspen Technology, ...",2023-10-03,2023-10-06,ir.aspentech.com,5
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",Q4-FY23 Results,https://ir.aspentech.com/static-files/e7168dba-0856-464a-8512-1abace48e85f,"Oct 17, 2023 ... © 2023 Aspen Technology, Inc. All rights ... others, as set forth in AspenTech's most recent Annual Report on Form 10-K and subsequent reports ...",2023-09-13,2023-09-13,ir.aspentech.com,6
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",Q4-FY23 Results,https://ir.aspentech.com/static-files/a114abbb-4a56-43ca-97b9-a4e0fdb0a0e2,"Aug 1, 2023 ... © 2023 Aspen Technology, Inc. All rights reserved. 2. Forward-Looking Statements. Safe Harbor Statement. Statements in this presentation and ...",2023-08-02,2023-08-02,ir.aspentech.com,7
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",Form 8-K for Aspen Technology INC filed 04/26/2023,https://ir.aspentech.com/static-files/f74a6ad0-390f-44a8-b54d-073e4034b513,"Apr 26, 2023 ... meet their sustainability and operational excellence objectives. ... Annual Report on Form 10-. KT and subsequent ... © 2023 Aspen Technology, Inc.",2023-04-26,2023-04-26,ir.aspentech.com,8
"Aspen Technology, Inc. Sustainability Report 2023 filetype:pdf site:ir.aspentech.com",Q2-FY23 Results,https://ir.aspentech.com/static-files/6d1557f7-8695-4cf4-afb0-0d530cbba86f,"Jan 25, 2023 ... © 2023 Aspen Technology, Inc. All rights ... AspenTech's periodic reports ... AspenTech is a global leader in sustainability for asset-intensive ...",2023-01-25,2023-01-25,ir.aspentech.com,9
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",2024 State of Design & Make Report from Autodesk Finds Growing ...,https://investors.autodesk.com/node/34301/pdf,"Apr 10, 2024 ... Make report released today by Autodesk, Inc. ... 2023. Trust in AI is on the rise: More ... they are proud of their company's sustainability efforts.",2024-04-10,,investors.autodesk.com,1
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",Spotlight on Rail,https://forums.autodesk.com/autodesk/attachments/autodesk/66/507803/1/state-of-design-and-make-2023-special-edition-rail-en.pdf,"... 2023 in Amsterdam, that brings ... For more information, visit autodesk.com or follow @autodesk on social media. ... report. © 2024 Autodesk Inc. All rights ...",2024-01-30,2024-01-30,forums.autodesk.com,2
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",Autodesk appoints Joe Speicher as its first chief sustainability officer,https://investors.autodesk.com/node/33991/pdf,"Nov 28, 2023 ... 28, 2023 /PRNewswire/ -- Autodesk, Inc. ... environmental, social, and ... sustainability work at autodesk.com/sustainability/impact-report.",2023-11-28,,investors.autodesk.com,3
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",Safe Harbor Statement,https://static.au-uw2-prd.autodesk.com/AU2023_CES602400_Democratize_Sustainability_1701274302049001VFLd.pdf,"Dec 18, 2023 ... © 2023 Autodesk, Inc. All rights reserved. Connected Data for Infrastructure. Excellence. Democratize. Sustainability. Dr. Elias Galvan, PE, ENV ...",2023-11-28,2023-11-28,static.au-uw2-prd.autodesk.com,4
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",It takes 200+ to tango… Delivering the future of Dublin Airport,https://static.au-uw2-prd.autodesk.com/DE601481_Autodesk_AU_2023_daa_It_Takes_200_to_Tango_1699450654583001aebs.pdf,"Nov 8, 2023 ... © 2023 Autodesk, Inc. All rights reserved. Team. Infrastructure and the Digital Team. 3. 4. Page 3. 11/8/2023. 3. Document Classification: Class ...",2023-11-08,2023-11-08,static.au-uw2-prd.autodesk.com,5
"Autodesk, Inc. Sustainability Report 2023 filetype:pdf site:autodesk.com",Think.Future Deck Use..,https://static.au-uw2-prd.autodesk.com/Presentation-CS153300-Wagner-AU2023_1698731573509001FyRZ.pdf,"© 2023 Autodesk, Inc. All rights reserved. AU23. Connecting Autodesk. Construction Cloud to. Sustainability. Aaron Wagner. Dorota Bacal, PhD. Brooks Smythe.",2023-10-31,2023-10-31,static.au-uw2-prd.autodesk.com,6
