query,title,label,url,snippet,creation_date,modified_date
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Green Financing Framework Second-Party Opinion ...,,https://pvh.com/-/media/Files/pvh/investor-relations/sustainable-finance/PVH-Green-Financing-Framework-SecondParty-Opinion-sustainalyticscom.pdf,"Apr 3, 2024 ... The Green Finance. Committee will be comprised of representatives from the Treasury,. Corporate Responsibility, Supply Chain, Finance,Â ...",2024-04-03,2024-04-03
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Green Financing Framework,,https://www.pvh.com/-/media/Files/pvh/investor-relations/sustainable-finance/PVH-Green-Financing-Framework.pdf,About PVH. Further details on progress towards our Fashion Forward Targets can be found in our annual Corporate Responsibility Report. Accelerate Climate Action.,2024-03-27,2024-03-27
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.com,PVH Proxy Statement 2023,,https://www.pvh.com/-/media/Files/pvh/investor-relations/PVH-Proxy-Statement-2023.pdf,"May 10, 2023 ... Notice of 2023 Annual ... AUDIT COMMITTEE REPORT / PVH CORP. 2023 ... mailing the proxy materials, and lessens the environmental impact of ourÂ ...",2023-05-09,2023-08-24
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 10-K for PVH Corp DE filed 03/28/2023,,https://pvh.gcs-web.com/static-files/b269af9c-f3a3-4bc4-9d89-1ca926029d21,"Mar 28, 2023 ... We encourage you to read our annual Corporate Responsibility Report on our PVH.com corporate website for more detailed information regarding our.",2023-03-28,2023-03-28
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 8-K for PVH Corp DE filed 11/29/2023,,https://pvh.gcs-web.com/static-files/38d078e3-59e5-4775-9cf4-f9953ffd7247,"Nov 29, 2023 ... Date of Report (Date of earliest event reported) November 29, 2023. PVH CORP. (Exact name of registrant as specified in its charter). Delaware.",2023-11-29,2023-11-29
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 10-Q for PVH Corp DE filed 09/07/2023,,https://pvh.gcs-web.com/static-files/4b0355ec-9417-4f17-a5ff-3083729528ed,"Sep 7, 2023 ... Please see Note 8, â€œDebt,â€ in the Notes to Consolidated Financial Statements included in. Item 8 of the Company's Annual Report on Form 10-K forÂ ...",2023-09-07,2023-09-07
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 10-K for PVH Corp DE filed 04/02/2024,,https://pvh.gcs-web.com/static-files/76f2381f-4d55-411e-ae18-befb674693a0,"Apr 2, 2024 ... ... PVH an inclusive work environment ... Report on Form 8-K, filed on June 27, 2023). ... In connection with the Annual Report on Form 10-K of PVH CorpÂ ...",2024-04-02,2024-04-02
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 8-K for PVH Corp DE filed 08/29/2023,,https://pvh.gcs-web.com/static-files/5866babe-4663-4736-a9e5-42922902a004,"Aug 29, 2023 ... Date of Report (Date of earliest event reported) August 29, 2023. PVH CORP. (Exact name of registrant as specified in its charter). Delaware.",2023-08-29,2023-08-29
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 8-K for PVH Corp DE filed 04/01/2024,,https://pvh.gcs-web.com/static-files/53a8b88e-4996-4387-b6af-47f659a2cfe5,"Apr 1, 2024 ... PVH CORP. By: /s/ James W. Holmes. James W. Holmes. Executive Vice President and Controller. Date: April 1, 2024. Page 4. PVH CORP. REPORTS 2023Â ...",2024-04-01,2024-04-01
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,Form 10-Q for PVH Corp DE filed 12/07/2023,,https://pvh.gcs-web.com/static-files/b678bc04-1516-4d53-8e3e-12dd66614bb3,"Dec 7, 2023 ... ... Annual Report on Form 10-K for the year ended January 29, 2023 ... and financial performance for sustainable ... In connection with the QuarterlyÂ ...",2023-12-07,2023-12-07
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,PVH CORP.,,https://pvh.gcs-web.com/static-files/14b3e319-9ef4-4b8d-9178-940ee26a7459,"Jun 17, 2021 ... improve continuously and make PVH an inclusive work environment ... 2023 if the performance criteria are satisfied. ... statements in PVH's AnnualÂ ...",2021-05-07,2021-05-07
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,UNITED STATES SECURITIES AND EXCHANGE COMMISSION ...,,https://pvh.gcs-web.com/static-files/cec07be7-f102-4cbd-926f-2e1520efc94e,"Mar 30, 2022 ... ... annual Corporate Responsibility Report on our PVH.com corporate website for more detailed information regarding our environmental, social and.",2022-03-30,2022-03-30
PVH Corp. Sustainability Report 2023 filetype:pdf site:pvh.gcs-web.com,UNITED STATES SECURITIES AND EXCHANGE COMMISSION ...,,https://pvh.gcs-web.com/static-files/88dffa93-8de4-4346-94ae-1f13eec665cd,"In connection with the Annual Report on Form 10-K of PVH Corp. (the â€œCompanyâ€) for the fiscal year ended January 31, 2021 as filed with the Securities andÂ ...",2021-03-31,2021-03-31
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,Exelon Sustainability Report 2022,,https://www.exeloncorp.com/sustainability/interactive-csr/Documents/2022/csr-year-2022-pdf.pdf,It is an honor for me to lead the next chapter at. Exelonâ€”a company I have been privileged to serve for more than a decade. The people in our communities countÂ ...,2023-08-31,2023-09-21
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,ESG/Sustainability Template â€“ Quantitative Information,,https://www.exeloncorp.com/content/dam/exelon/sustainability/Documents/Exelon%20EEI%20-%20AGA%20ESG%20Quantitative%20Template.pdf,"Oct 30, 2023 ... FY22 data available on pg 32 in 2022 Exelon Sustainability Report; FY21 data available on pg 24 in Exelon's 2021 Corporate. SustainabilityÂ ...",2023-10-27,2023-10-27
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,2020 Exelon Corporation Sustainability Report,,https://www.exeloncorp.com/sustainability/Documents/dwnld_Exelon_CSR%20(1).pdf,"These investments enhance the reliability and resilience of our infrastructure to meet the growing challenges of climate change, respond to customer needs forÂ ...",2021-06-07,2021-06-08
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,Exelon Corporation Sustainability Report 2019,,https://www.exeloncorp.com/content/dam/exelon/sustainability/interactive-csr/Documents/2019/csr-year-2019-pdf.pdf,renewable energy products. â€¢ Exelon plans to spend $26 billion between 2020 and 2023 across our utilities to support our Connected Communities visionÂ ...,2020-06-23,2020-06-23
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,Welcome to your CDP Climate Change Questionnaire 2023 C0 ...,1.0,https://www.exeloncorp.com/sustainability/Documents/Exelon_Investor_CDP.pdf,"Sep 22, 2023 ... Exelon does provide 3 years of recast data for GHG emissions in its corporate sustainability report. Page 2. Exelon Corporation CDP ClimateÂ ...",2023-09-25,2023-09-25
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,"1 Methane Emissions from Exelon Utility (BGE, PECO, DPL) Gas ...",,https://www.exeloncorp.com/sustainability/Documents/GHG_emission_and_intensity.pdf,of the Exelon Sustainability Report 2022 at page ... Exelon's corporate GHG emission ... emission accounting as appropriate in its 2023 sustainability report.,2023-06-13,2023-06-13
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,EEI and AGA ESG Template,,https://www.exeloncorp.com/sustainability/Documents/EEI-and-AGA-ESG-Template.pdf,"Aug 15, 2020 ... $26 billion in our utilities from 2020 through 2023. ... Exelon's 2019 CSR reporting on climate has ... https://www.exeloncorp.com/sustainability/Â ...",2020-09-09,2023-07-24
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,"Exelon Diversity, Equity & Inclusion Annual Report 2022",,https://www.exeloncorp.com/company/Documents/Diversity_Equity_Inclusion_Annual_Report.pdf,"In 2022,. Environmental Justice was established as a key area of focus to acknowledge our company commitment toâ€”and role inâ€”advancing the equitable treatment.",2023-07-24,2023-07-24
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,Delivering Sustainable Value as the Premier T&D Utility,,https://investors.exeloncorp.com/static-files/66cd6590-b3b3-4502-8cde-acb830bb811f,"Oct 1, 2023 ... ... ComEd,. Delmarva ... Exelon's 2023 Proxy filing on March 15, 2023. ... Corporate Sustainability Approach section of the Exelon Sustainability ReportÂ ...",2023-10-20,2023-10-20
Exelon Corp. Sustainability Report 2023 filetype:pdf site:exeloncorp.com,Powering a cleaner and brighter future for our customers and ...,,https://www.exeloncorp.com/content/dam/exelon/sustainability/interactive-csr/Documents/2021/csr-year-2021-pdf.pdf,"... 2023. In. 2021, BGE conducted Unit ... The Exelon 2021 Sustainability Report details our ... 2021 Corporate Sustainability Report Approach; Key SustainabilityÂ ...",2022-06-29,2022-06-29
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Delivering Sustainable Value as the Premier T&D Utility,,https://investors.exeloncorp.com/static-files/66cd6590-b3b3-4502-8cde-acb830bb811f,"Oct 1, 2023 ... ... ComEd,. Delmarva ... Exelon's 2023 Proxy filing on March 15, 2023. ... Corporate Sustainability Approach section of the Exelon Sustainability ReportÂ ...",2023-10-20,2023-10-20
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Form 8-K for Exelon Corp filed 08/02/2023,,https://investors.exeloncorp.com/static-files/f7c8b399-7cc7-4c35-82d2-c6cb07c46093,"Aug 2, 2023 ... ... 2023 (1) 2022 Exelon Sustainability Report can be found in the Sustainability section of the Company's website. (2) 2023 earnings guidanceÂ ...",2023-08-02,2023-08-02
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Earnings Conference Call Second Quarter 2023,,https://investors.exeloncorp.com/static-files/5e054b56-9aba-43d1-bcf5-257d003c5b72,"Aug 2, 2023 ... (1) 2022 Exelon Sustainability Report can be found in the Sustainability section of the Company's website. (2) 2023 earnings guidance basedÂ ...",2023-08-01,2023-08-01
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Notice of the Annual Meeting and 2024 Proxy Statement,,https://investors.exeloncorp.com/static-files/9e1b1ef4-4257-42b3-b60f-c59c644c0deb,"Mar 20, 2024 ... ... Annual Investor Sustainability Report (in addition to our annual Exelon ... Corp. (2021 â€“ 2022) ... Exelon's 2023 Annual Report on Form 10-K.",2024-03-09,2024-03-12
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Exelon Corporation,,https://investors.exeloncorp.com/static-files/73081ee5-ec6c-4044-8b0b-8433514744f5,"Mar 16, 2022 ... practices, please refer to the Exelon Corporation Sustainability Report posted on our website at: www.exeloncorp.com/sustainability. BoardÂ ...",2022-03-16,2022-03-16
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Form 8-K for Exelon Corp filed 02/14/2023,,https://investors.exeloncorp.com/static-files/8787e7b2-ca45-44f9-8069-28baa6ab3fe1,"Feb 14, 2023 ... ... corporate community investment and her experience on PECO's Board, together with Matt. Rogers' work in sustainability and the energyÂ ...",2023-02-14,2023-02-14
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Earnings Conference Call Fourth Quarter 2023,,https://investors.exeloncorp.com/static-files/08e9eefd-ab49-4675-b549-ad59756d5275,"Feb 21, 2024 ... ... reports for Exelon Corp. (5) Current senior ... Formal Case No. 1176. â€¢ April 13, 2023, Pepco submitted its â€œClimate ... 2023 for Exelon's utilitiesÂ ...",2024-02-21,2024-02-21
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Leading the Way to a Sustainable Future: Exelon's ESG Programs,,https://investors.exeloncorp.com/static-files/f3dbe322-7e74-41f0-80b2-06c14743402e,"2023. 2023. 2018 ... â€¢ 2019 Corporate Sustainability Report (reported using TCFD, GRI and SDG standards) ... â€¢ 2019 Exelon Diverse Business Empowerment AnnualÂ ...",2021-02-01,2021-02-01
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,FORM 10-K,,https://investors.exeloncorp.com/static-files/6213b240-ab5c-4a4c-9a6a-936702a7e3eb,"Apr 7, 2024 ... This combined Annual Report on Form 10-K is being filed separately by Exelon Corporation, Commonwealth. Edison Company, PECO Energy CompanyÂ ...",2024-03-15,2024-03-15
Exelon Corp. Sustainability Report 2023 filetype:pdf site:investors.exeloncorp.com,Investor Meetings,,https://investors.exeloncorp.com/static-files/f6bb999d-6932-4657-92c0-cfa76a3eed5c,"Jan 1, 2024 ... Registrants' 2023 Annual Report on Form 10-K ... Exelon is an Industry Leader in Sustainability ... 2023 for Exelon's utilities (excludes Corp andÂ ...",2024-03-14,2024-03-14
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,DEF 14A - 06/12/2023 - *Demo Website,,https://www.vfc.com/investors/financial-information/sec-filings/content/0001193125-23-164886/0001193125-23-164886.pdf,"Jun 12, 2023 ... A copy of VF's Annual Report for fiscal 2023 is included for your information. ... sustainable and responsible growth of VF's businesses,Â ...",2023-06-12,
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,VF CORPORATION Annual Report FISCAL YEAR 2023,,https://www.vfc.com/investors/financial-information/sec-filings/content/0001193125-23-164888/0001193125-23-164888.pdf,"May 25, 2023 ... VF Corporation Fiscal 2023 Form 10-K. 1. Page ... reviews VF's Code of Business Conduct and VF's sustainability ... Annual Report under the captionÂ ...",2023-06-08,2023-06-08
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-K - 05/25/2023 - *Demo Website,,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-23-000006/0000103379-23-000006.pdf,"May 25, 2023 ... This document (excluding exhibits) contains 106 pages. Page 3. VF CORPORATION ... reports VF files with the SEC. PART I. ITEM 1 ... In Fiscal 2023,Â ...",2023-05-25,
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,Modern Slavery and Human Rights Statement VF is committed to ...,,https://vfc.com/modern-slavery-statement,Sustainability Report. This Modern Slavery and Human Rights Statement discusses the activities of VF Corporation and its current consolidated subsidiariesÂ ...,2023-07-25,2023-07-25
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,8-K - 06/20/2023 - *Demo Website,,https://www.vfc.com/investors/financial-information/sec-filings/content/0001193125-23-169577/0001193125-23-169577.pdf,"Jun 20, 2023 ... On June 16, 2023, the Board of Directors (the â€œBoardâ€) of V. F. Corporation (the â€œCompanyâ€) approved the appointment of Bracken Darrell as.",2023-06-20,
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-Q - 02/07/2024 - *Demo Website,,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-24-000003/0000103379-24-000003.pdf,"Feb 7, 2024 ... In connection with the Quarterly Report of V.F. Corporation (the â€œCompanyâ€) on Form 10-Q for the period ending December 30, 2023 as filedÂ ...",2024-02-07,
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-Q - 11/03/2023 - *Demo Website,,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-23-000018/0000103379-23-000018.pdf,"Nov 3, 2023 ... increased focus on environmental, social and governance issues; VF's ... In connection with the Quarterly Report of V.F. Corporation (the â€œCompanyÂ ...",2023-11-03,
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-K - 05/26/2022 - *Demo Website,,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-22-000006/0000103379-22-000006.pdf,"May 26, 2022 ... projects that focus on VF's key environmental sustainability initiatives. ... In connection with the Annual Report of V.F. Corporation (the â€œÂ ...",2022-05-26,
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,10-Q - 08/03/2023 - *Demo Website,,https://www.vfc.com/investors/financial-information/sec-filings/content/0000103379-23-000015/0000103379-23-000015.pdf,"Aug 3, 2023 ... On July 25, 2023, VF's Board of ... effects from climate change; VF's ... In connection with the Quarterly Report of V.F. Corporation (the â€œCompanyÂ ...",2023-08-03,
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:vfc.com,8-K - 10/30/2023 - *Demo Website,,https://www.vfc.com/investors/financial-information/sec-filings/content/0001157523-23-001573/0001157523-23-001573.pdf,"October 30, 2023. Page 3. Exhibit 99. VF Corporation Reports Second Quarter Fiscal 2024 Results and Announces Reinvent, a Comprehensive.",2023-10-30,
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,2023 Annual Report,,https://investors.hookerfurnishings.com/static-files/08d8d489-0e08-4428-b3b6-59b8fe5e4417,"Apr 14, 2023 ... Unless otherwise indicated, references to the â€œCompany,â€ â€œwe,â€ â€œourâ€ or â€œusâ€ refer to Hooker Furnishings Corporation and its consolidatedÂ ...",2023-04-24,2023-04-24
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 10-K for Hooker Furnishings Corp filed 04/14/2023,,https://investors.hookerfurnishings.com/static-files/9c80ca2d-2de2-4726-bdb9-dbfc48e7ebd1,"Apr 14, 2023 ... Indicate by check mark whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the SecuritiesÂ ...",2023-04-14,2023-04-14
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,2022 Annual Report - HOOKER,,https://investors.hookerfurnishings.com/static-files/3c7ddc06-bf07-400b-9c88-ae102f793337,"Apr 15, 2022 ... Hooker Furnishings Corporation, incorporated in Virginia in 1924, is a designer, marketer and importer of casegoods (wooden and metal furniture)Â ...",2022-04-27,2022-04-28
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,2024 Annual Report,,https://investors.hookerfurnishings.com/static-files/3581e58f-35fb-469a-9975-0b70e9209118,"Apr 30, 2024 ... ANNUAL REPORT ON FORM 10-K. Hooker Furnishings Corporation's Annual Report on Form. 10-K, included herein, is also available on our website at.",2024-04-17,2024-04-20
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 8-K for Hooker Furnishings Corp filed 03/17/2023,,https://investors.hookerfurnishings.com/static-files/15e6ff06-9c0f-4ab2-8866-9320e5681be8,"Mar 17, 2023 ... Date of Report (Date of earliest event reported): March 14, 2023. HOOKER FURNISHINGS CORPORATION. (Exact name of registrant as specified inÂ ...",2023-03-17,2023-03-17
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 10-Q for Hooker Furnishings Corp filed 12/08/2023,,https://investors.hookerfurnishings.com/static-files/c0db1cac-bbc6-4604-866f-afef23d06634,"Dec 8, 2023 ... Indicate by check mark whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the SecuritiesÂ ...",2023-12-08,2023-12-08
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 8-K for Hooker Furnishings Corp filed 09/08/2023,,https://investors.hookerfurnishings.com/static-files/033a50d5-e97a-43aa-9efe-f94e594ce96b,"Sep 8, 2023 ... Date of Report (Date of earliest event reported): September 8, 2023. Hooker Furnishings Corporation. (ExactÂ ...",2023-09-08,2023-09-08
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Form 10-Q for Hooker Furnishings Corp filed 06/08/2023,,https://investors.hookerfurnishings.com/static-files/bbf9731a-6b75-4d6c-b2d5-7a2e479da567,"Jun 8, 2023 ... 2023 (â€œ2023 Annual Reportâ€). The preparation ... challenges to the retail environment ... In connection with the Hooker Furnishings Corporation (theÂ ...",2023-06-08,2023-06-08
Hooker Furnishings Corp. Sustainability Report 2023 filetype:pdf site:investors.hookerfurnishings.com,Hooker Furnishings Reports Fiscal 2023 Results,,https://investors.hookerfurnishings.com/node/14786/pdf,"Apr 15, 2023 ... Hooker Furnishings Corporation's corporate offices and upholstery ... environment for home ... ""Risk Factors"" in the Company's Annual Report on Form.",2023-04-15,
